generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0380156,2,0,0,88,NaN,0
1,0.0832276,2,0,4,87,50,0
2,0.1245783,2.01,1,1.96,88,68,22.448979591836736
3,0.1699274,2.02,1,2.3714285714285714,85,47.14285714285714,0
4,0.2315627,2,0,2.5,82,48.68421052631579,0
5,0.2777379,2.01,1,2.2375,88,88.75,32.55813953488372
6,0.3131554,2.01,1,1.9069767441860466,91,88.37209302325581,37.03703703703704
7,0.33084349999999996,2.03,1,2.2790697674418605,91,84.88372093023256,31.57894736842105
8,0.35122339999999996,2.02,1,2.227272727272727,90,75,28.57142857142857
9,0.36695279999999997,2,0,2.130434782608696,87,73.91304347826086,41.41414141414141
10,0.38413109999999995,2.01,1,2.2555555555555555,86,74.44444444444444,36.36363636363637
11,0.40047309999999997,2,0,2.3152173913043477,87,70.65217391304348,34.285714285714285
12,0.41712229999999995,2,0,1.3085106382978724,89,93.61702127659575,100
13,0.43530279999999993,2,0,1.297872340425532,91,90.42553191489363,100
14,0.4531741999999999,2.02,1,1.3829787234042554,88,88.29787234042553,100
15,0.46943899999999994,2.01,1,1.4583333333333333,89,83.33333333333334,100
16,0.48669699999999994,2.03,1,1.4787234042553192,87,80.85106382978722,100
17,0.5036645,2.02,1,1.5104166666666667,85,73.95833333333334,100
18,0.5212570999999999,2.02,1,1.530612244897959,90,77.55102040816327,100
19,0.5385581999999999,2.03,1,1.5104166666666667,84,69.79166666666666,100
20,0.5565789999999998,2.02,1,1.5833333333333333,86,75,100
21,0.5751144999999999,2.02,1,1.6224489795918366,83,69.38775510204081,100
22,0.5935829999999999,2,0,1.6145833333333333,87,73.95833333333334,100
23,0.6131503999999999,2,0,1.6145833333333333,80,73.95833333333334,100
24,0.6331333999999998,2.01,1,1.316326530612245,80,73.46938775510205,100
25,0.6504921999999999,2.02,1,1.5510204081632653,82,72.44897959183673,100
26,0.6681406999999998,2.02,1,1.2346938775510203,78,67.3469387755102,100
27,0.6856923999999998,2.01,1,1.5510204081632653,84,63.26530612244898,100
28,0.7029793999999998,2.01,1,1.3571428571428572,76,68.36734693877551,100
29,0.7191852999999998,2.02,1,1.2,82,57.99999999999999,100
30,0.7350538999999998,2.01,1,1.63,75,57.99999999999999,100
31,0.7524689999999998,2.02,1,1.62,74,66,100
32,0.7699239999999998,2.03,1,1.5612244897959184,75,69.38775510204081,100
33,0.7886731999999999,2.01,1,1.2857142857142858,72,65.3061224489796,100
34,0.8072986999999998,2.04,1,1.3061224489795917,75,65.3061224489796,100
35,0.8238718999999998,2.08,1,1.28,73,62,100
36,0.8427728999999997,2.06,1,1.67,70,61,100
37,0.8599513999999997,2.07,1,1.6,69,61,100
38,0.8763503999999998,2.06,1,1.683673469387755,70,59.183673469387756,100
39,0.8922275999999998,2.06,1,1.2857142857142858,69,63.26530612244898,100
40,0.9094007999999998,2.1,1,1.6326530612244898,70,61.224489795918366,100
41,0.9261977999999997,2.09,1,1.2,70,59,100
42,0.9439864999999997,2.15,1,1.66,71,60,100
43,0.9617657999999998,2.17,1,1.24,70,59,100
44,0.9783637999999998,2.14,1,1.6224489795918366,72,67.3469387755102,100
45,0.9948998999999998,2.11,1,1.2040816326530612,69,62.244897959183675,100
