generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0317894,2,0,0,81,NaN,0
1,0.0677528,2.01,1,2.5,81,0,50
2,0.1213077,2,0,4.4,78,42,43.51851851851852
3,0.1763402,2.01,1,3.742857142857143,70,50,50.38167938931297
4,0.2323068,2.04,1,3.986842105263158,76,43.42105263157895,48.322147651006716
5,0.2981935,2.02,1,4.6125,66,43.75,40.65934065934066
6,0.37350479999999997,2.03,1,4.395348837209302,66,43.02325581395349,44.623655913978496
7,0.42609939999999996,2.05,1,4.023255813953488,68,54.65116279069767,48.57142857142857
8,0.5067345,2.1,1,4.1477272727272725,64,55.68181818181818,44.32432432432433
9,0.566344,2.12,1,3.630434782608696,63,44.565217391304344,42.63157894736842
10,0.6239209,2.14,1,4.388888888888889,65,56.666666666666664,42
11,0.6816637,2.17,1,5.010869565217392,62,40.21739130434783,37.66816143497758
12,0.7285764,2.18,1,4.180851063829787,63,53.191489361702125,43.07692307692308
13,0.7704795,2.19,1,3.0319148936170213,63,53.191489361702125,62.23776223776224
14,0.811285,2.2,1,4.159574468085107,69,43.61702127659575,43.684210526315795
15,0.8528995,2.16,1,4.583333333333333,64,43.75,41.66666666666667
16,0.8932738,2.18,1,4.23404255319149,65,56.38297872340425,39.5
17,0.9336074,2.21,1.0476190476190477,4.239583333333333,64,54.166666666666664,43.90243902439025
18,0.9747703999999999,2.21,1.0476190476190477,3.9081632653061225,60,57.14285714285714,41.58878504672897
19,1.0150473,2.22,1,4.427083333333333,65,44.79166666666667,41.34615384615385
20,1.0587221,2.26,1,3.9583333333333335,65,45.83333333333333,44.86486486486487
21,1.1004344,2.19,1,4.408163265306122,63,53.06122448979592,39.25233644859813
22,1.1412095999999998,2.22,1,3.7604166666666665,62,53.125,41.7910447761194
23,1.1816273999999998,2.25,1,4.5625,66,52.083333333333336,39.26940639269406
24,1.2228504999999998,2.21,1.0476190476190477,4.244897959183674,62,41.83673469387755,43.28358208955223
25,1.2653313,2.21,1.1428571428571428,4.255102040816326,64,47.95918367346938,40.88669950738916
26,1.307326,2.23,1.1304347826086956,3.5510204081632653,65,41.83673469387755,44.16243654822335
27,1.3473578,2.27,1.2222222222222223,4.1938775510204085,65,43.87755102040816,42.211055276381906
28,1.3864906,2.21,1.1904761904761905,4.76530612244898,61,54.08163265306123,37.76824034334764
29,1.4280093999999999,2.25,1.16,4.37,63,47,39.15094339622642
30,1.4708047,2.26,1.0769230769230769,4.4,62,61,40.27149321266968
31,1.5100415,2.35,1.0857142857142856,4.31,63,51,41.31455399061033
32,1.5489353000000001,2.38,1.0526315789473684,4.061224489795919,65,50,38.91402714932127
33,1.5927239000000002,2.42,1.0952380952380953,4.357142857142857,61,43.87755102040816,40.29126213592233
34,1.6386469000000001,2.5,1.1,4.622448979591836,62,51.02040816326531,40.17857142857143
35,1.6805314000000002,2.43,1.186046511627907,3.77,62,54,39.71291866028708
36,1.7221281000000002,2.42,1.119047619047619,3.7,64,48,42.99516908212561
37,1.7648516,2.35,1.1428571428571428,4.6,61,44,39.732142857142854
38,1.805841,2.32,1.03125,4.285714285714286,63,52.04081632653062,41.06280193236715
39,1.844683,2.21,1.0952380952380953,4.5,65,57.14285714285714,36.23853211009174
40,1.8823569,2.24,1.2916666666666667,3.9285714285714284,68,42.857142857142854,41.86046511627907
41,1.9218119,2.2,1.2,4.04,62,49,39.175257731958766
42,1.9623592,2.26,1.2307692307692308,4.15,61,55.00000000000001,40.77669902912621
43,2.007232,2.27,1.1851851851851851,4.33,65,56.00000000000001,39.25233644859813
44,2.0504051000000003,2.37,1.135135135135135,4.295918367346939,60,52.04081632653062,40.57971014492754
45,2.0901581000000005,2.25,1.08,4.26530612244898,66,37.755102040816325,41.41414141414141
46,2.1292011000000004,2.3,1,4.255102040816326,62,50,40.97560975609756
47,2.1711332000000003,2.27,1,4.52,64,49,38.46153846153847
48,2.2128192,2.21,1.0476190476190477,4.57,66,45,40.80717488789238
49,2.2576865,2.23,1,4.72,61,51,37.60683760683761
50,2.2971556,2.35,1.0285714285714285,4.29,62,49,41.904761904761905
51,2.3369699,2.33,1.0303030303030303,4.56,66,48,38.392857142857146
52,2.3779499,2.24,1.0416666666666667,4.32,64,50,41.509433962264154
53,2.4201042,2.28,1.1071428571428572,4.11,65,49,43.56435643564357
54,2.4602201,2.23,1.173913043478261,4.66,62,46,37.719298245614034
55,2.4994107999999997,2.29,1.103448275862069,4.32,63,37,42.30769230769231
